"sku","section_width","aspect_ratio","diameter","tire_type","""sku"",""section_width"",""aspect_ratio"",""diameter"",""tire_type"""
197310,225,50,15,1,"""197310"",""225"",""50"",""15"",""1"""
197260,205,55,16,1,"""197260"",""205"",""55"",""16"",""1"""
197270,215,55,16,1,"""197270"",""215"",""55"",""16"",""1"""
197280,225,55,16,1,"""197280"",""225"",""55"",""16"",""1"""
197220,195,50,16,1,"""197220"",""195"",""50"",""16"",""1"""
197230,205,50,16,1,"""197230"",""205"",""50"",""16"",""1"""
197240,225,50,16,1,"""197240"",""225"",""50"",""16"",""1"""
197250,245,50,16,1,"""197250"",""245"",""50"",""16"",""1"""
197210,205,45,16,1,"""197210"",""205"",""45"",""16"",""1"""
197200,205,40,16,1,"""197200"",""205"",""40"",""16"",""1"""
197370,235,55,17,1,"""197370"",""235"",""55"",""17"",""1"""
197380,215,50,17,1,"""197380"",""215"",""50"",""17"",""1"""
197390,225,50,17,1,"""197390"",""225"",""50"",""17"",""1"""
197400,235,50,17,1,"""197400"",""235"",""50"",""17"",""1"""
197140,205,45,17,1,"""197140"",""205"",""45"",""17"",""1"""
197150,215,45,17,1,"""197150"",""215"",""45"",""17"",""1"""
197160,225,45,17,1,"""197160"",""225"",""45"",""17"",""1"""
197170,235,45,17,1,"""197170"",""235"",""45"",""17"",""1"""
197180,245,45,17,1,"""197180"",""245"",""45"",""17"",""1"""
197110,205,40,17,1,"""197110"",""205"",""40"",""17"",""1"""
197120,215,40,17,1,"""197120"",""215"",""40"",""17"",""1"""
197410,245,40,17,1,"""197410"",""245"",""40"",""17"",""1"""
197130,255,40,17,1,"""197130"",""255"",""40"",""17"",""1"""
197420,275,40,17,1,"""197420"",""275"",""40"",""17"",""1"""
197630,225,50,18,1,"""197630"",""225"",""50"",""18"",""1"""
197430,235,50,18,1,"""197430"",""235"",""50"",""18"",""1"""
197650,215,45,18,1,"""197650"",""215"",""45"",""18"",""1"""
197360,225,45,18,1,"""197360"",""225"",""45"",""18"",""1"""
198000,235,45,18,1,"""198000"",""235"",""45"",""18"",""1"""
197440,245,45,18,1,"""197440"",""245"",""45"",""18"",""1"""
197450,255,45,18,1,"""197450"",""255"",""45"",""18"",""1"""
197060,205,40,18,1,"""197060"",""205"",""40"",""18"",""1"""
197070,215,40,18,1,"""197070"",""215"",""40"",""18"",""1"""
197080,225,40,18,1,"""197080"",""225"",""40"",""18"",""1"""
197090,235,40,18,1,"""197090"",""235"",""40"",""18"",""1"""
197100,245,40,18,1,"""197100"",""245"",""40"",""18"",""1"""
197990,255,40,18,1,"""197990"",""255"",""40"",""18"",""1"""
197050,215,35,18,1,"""197050"",""215"",""35"",""18"",""1"""
197460,275,35,18,1,"""197460"",""275"",""35"",""18"",""1"""
197190,215,35,19,1,"""197190"",""215"",""35"",""19"",""1"""
197020,225,35,19,1,"""197020"",""225"",""35"",""19"",""1"""
197030,235,35,19,1,"""197030"",""235"",""35"",""19"",""1"""
197040,245,35,19,1,"""197040"",""245"",""35"",""19"",""1"""
197580,255,35,19,1,"""197580"",""255"",""35"",""19"",""1"""
197470,265,30,19,1,"""197470"",""265"",""30"",""19"",""1"""
197480,295,30,19,1,"""197480"",""295"",""30"",""19"",""1"""
197490,245,45,20,1,"""197490"",""245"",""45"",""20"",""1"""
197500,255,45,20,1,"""197500"",""255"",""45"",""20"",""1"""
197570,245,40,20,1,"""197570"",""245"",""40"",""20"",""1"""
197510,275,40,20,1,"""197510"",""275"",""40"",""20"",""1"""
197350,225,35,20,1,"""197350"",""225"",""35"",""20"",""1"""
197330,245,35,20,1,"""197330"",""245"",""35"",""20"",""1"""
197340,255,35,20,1,"""197340"",""255"",""35"",""20"",""1"""
197590,275,35,20,1,"""197590"",""275"",""35"",""20"",""1"""
197520,215,30,20,1,"""197520"",""215"",""30"",""20"",""1"""
198020,235,30,20,1,"""198020"",""235"",""30"",""20"",""1"""
197530,255,30,20,1,"""197530"",""255"",""30"",""20"",""1"""
197540,295,30,20,1,"""197540"",""295"",""30"",""20"",""1"""
197550,295,25,20,1,"""197550"",""295"",""25"",""20"",""1"""
197810,255,35,22,1,"""197810"",""255"",""35"",""22"",""1"""
197820,235,30,22,1,"""197820"",""235"",""30"",""22"",""1"""
197610,245,30,22,1,"""197610"",""245"",""30"",""22"",""1"""
198010,255,30,22,1,"""198010"",""255"",""30"",""22"",""1"""
197830,265,30,22,1,"""197830"",""265"",""30"",""22"",""1"""
197840,285,30,22,1,"""197840"",""285"",""30"",""22"",""1"""
197850,305,25,22,1,"""197850"",""305"",""25"",""22"",""1"""
197910,255,30,24,1,"""197910"",""255"",""30"",""24"",""1"""
197920,275,30,24,1,"""197920"",""275"",""30"",""24"",""1"""
198030,265,25,24,1,"""198030"",""265"",""25"",""24"",""1"""
197940,275,25,24,1,"""197940"",""275"",""25"",""24"",""1"""
197950,275,25,26,1,"""197950"",""275"",""25"",""26"",""1"""
197960,275,25,28,1,"""197960"",""275"",""25"",""28"",""1"""
197970,265,25,30,1,"""197970"",""265"",""25"",""30"",""1"""
195310,195,55,15,1,"""195310"",""195"",""55"",""15"",""1"""
195300,195,50,15,1,"""195300"",""195"",""50"",""15"",""1"""
195350,225,55,16,1,"""195350"",""225"",""55"",""16"",""1"""
195330,205,50,16,1,"""195330"",""205"",""50"",""16"",""1"""
195340,225,50,16,1,"""195340"",""225"",""50"",""16"",""1"""
195320,205,45,16,1,"""195320"",""205"",""45"",""16"",""1"""
195430,215,55,17,1,"""195430"",""215"",""55"",""17"",""1"""
195360,225,55,17,1,"""195360"",""225"",""55"",""17"",""1"""
195370,205,50,17,1,"""195370"",""205"",""50"",""17"",""1"""
195440,225,50,17,1,"""195440"",""225"",""50"",""17"",""1"""
195380,215,45,17,1,"""195380"",""215"",""45"",""17"",""1"""
195390,225,45,17,1,"""195390"",""225"",""45"",""17"",""1"""
195400,235,45,17,1,"""195400"",""235"",""45"",""17"",""1"""
195410,245,45,17,1,"""195410"",""245"",""45"",""17"",""1"""
195420,205,40,17,1,"""195420"",""205"",""40"",""17"",""1"""
195450,225,40,18,1,"""195450"",""225"",""40"",""18"",""1"""
195460,235,40,18,1,"""195460"",""235"",""40"",""18"",""1"""
195470,215,35,18,1,"""195470"",""215"",""35"",""18"",""1"""
195490,225,35,20,1,"""195490"",""225"",""35"",""20"",""1"""
195480,245,35,20,1,"""195480"",""245"",""35"",""20"",""1"""
107430,185,70,14,1,"""107430"",""185"",""70"",""14"",""1"""
107440,175,65,14,1,"""107440"",""175"",""65"",""14"",""1"""
107000,205,70,15,1,"""107000"",""205"",""70"",""15"",""1"""
107010,215,70,15,1,"""107010"",""215"",""70"",""15"",""1"""
107030,205,65,15,1,"""107030"",""205"",""65"",""15"",""1"""
107050,215,65,15,1,"""107050"",""215"",""65"",""15"",""1"""
107090,215,60,15,1,"""107090"",""215"",""60"",""15"",""1"""
107100,205,65,16,1,"""107100"",""205"",""65"",""16"",""1"""
107110,215,65,16,1,"""107110"",""215"",""65"",""16"",""1"""
107130,235,65,16,1,"""107130"",""235"",""65"",""16"",""1"""
107160,215,60,16,1,"""107160"",""215"",""60"",""16"",""1"""
107180,225,60,16,1,"""107180"",""225"",""60"",""16"",""1"""
107250,215,65,17,1,"""107250"",""215"",""65"",""17"",""1"""
107490,235,55,17,1,"""107490"",""235"",""55"",""17"",""1"""
107550,215,55,18,1,"""107550"",""215"",""55"",""18"",""1"""
107400,225,55,18,1,"""107400"",""225"",""55"",""18"",""1"""
107470,225,50,18,1,"""107470"",""225"",""50"",""18"",""1"""
107450,185,65,14,1,"""107450"",""185"",""65"",""14"",""1"""
107020,195,65,15,1,"""107020"",""195"",""65"",""15"",""1"""
107040,205,65,15,1,"""107040"",""205"",""65"",""15"",""1"""
107060,195,60,15,1,"""107060"",""195"",""60"",""15"",""1"""
107080,205,60,15,1,"""107080"",""205"",""60"",""15"",""1"""
107580,215,60,15,1,"""107580"",""215"",""60"",""15"",""1"""
107590,205,65,16,1,"""107590"",""205"",""65"",""16"",""1"""
107120,225,65,16,1,"""107120"",""225"",""65"",""16"",""1"""
107140,205,60,16,1,"""107140"",""205"",""60"",""16"",""1"""
107190,225,60,16,1,"""107190"",""225"",""60"",""16"",""1"""
