"make","model","trim","year start","year end","bp","hub","offset","thread","thread","suggested tire size","suggested tire size","with"
,,,,,,,,,,"oe-19","265/65-18",
,,,,,,,,,,"oe-20","275/55-20",
,,,,,,,,,,"plus-18","285/60-18",
,,,,,,,,,,"plus-20","285/55-20",
,,,,,,,,,,"plus-22","285/45-22",
,,,,,,,,,,"plus-24","295/35-24",
"CHEVROLET","AVALANCHE",2500,2002,2007,"8x165.1",125,"LOW","14X1.5","NUT","oe-16","lt245/75-16","4wd"
"CHEVROLET","BLAZER S-10","BASE",1983,2005,"5x120.7",70.3,"LOW","12X1.5","NUT","oe-15","205/75-15","2wd"
,,,,,,,,,,"oe-15","235/70-15",
,,,,,,,,,,"oe-16","235/60-16",
,,,,,,,,,,"plus-16","255/55-16",
,,,,,,,,,,"plus-17","255/50-17",
,,,,,,,,,,"plus-18","255/45-18",
"CHEVROLET","BLAZER S-10","BASE",1983,2004,"5x120.7",70.3,"HIGH","12X1.5","NUT","oe-15","265/75-15","4wd"
,,,,,,,,,,"plus-16","245/70-16",
,,,,,,,,,,"plus-17","255/60-17",
,,,,,,,,,,"plus-18","255/55-18",
,,,,,,,,,,"plus-20","255/45-20",
"CHEVROLET","C-1500 PICKUP","BASE",1988,1993,"5x127",78.3,"LOW","14X1.5","NUT","oe-15","235/75-15","2wd"
,,,,,,,,,,"plus-16","235/70-16",
,,,,,,,,,,"plus-17","255/60-17",
,,,,,,,,,,"plus-18","255/55-18",
,,,,,,,,,,"plus-20","255/50-20",
"CHEVROLET","C-2500 PICKUP","BASE",1988,2000,"6x139.7",78.3,"LOW","14X1.5","NUT","oe-16","lt225/75-16","2wd"
"CHEVROLET","C-2500 PICKUP","BASE",1988,2000,"8x165.1",116.7,"LOW","14X1.5","NUT","oe-16","lt245/75-16","2wd,Heavy Duty,8lug"
"CHEVROLET","C-3500 PICKUP","BASE",1988,2000,"8x165.1",116.7,"LOW","14X1.5","NUT","oe-16","lt225/75-16","2wd"
,,,,,,,,,,"oe-16","lt245/75-16",
"CHEVROLET","HHR","LS",2006,2009,"5x110",65.1,"HIGH","12X1.5","NUT","oe-16","215/55-16",
,,,,,,,,,,"oe-17","215/50-17",
,,,,,,,,,,"plus-18","225/40-18",
,,,,,,,,,,"plus-20","225/30-20",
"CHEVROLET","HHR","LT",2006,2009,"5x110",65.1,"HIGH","12X1.5","NUT","oe-16","215/55-16",
,,,,,,,,,,"oe-17","215/50-17",
,,,,,,,,,,"plus-18","225/40-18",
,,,,,,,,,,"plus-20","225/30-20",
"CHEVROLET","HHR","ss",2009,2009,"5x110",65.1,"HIGH","12X1.5","NUT","oe-18","225/45-18",
,,,,,,,,,,"plus-18","235/45-18",
,,,,,,,,,,"plus-19","235/40-19",
,,,,,,,,,,"plus-20","235/35-20",
"CHEVROLET","K-1500 PICKUP","BASE",1988,1998,"6x139.7",78.3,"LOW","14X1.5","NUT","oe-16","lt245/75-16","4wd"
,,,,,,,,,,"oe-16","lt265/75-16",
"CHEVROLET","K-2500 PICKUP ","BASE",1988,2000,"6x139.7",78.3,"LOW","14X1.5","NUT","oe-16","lt245/75-16","4wd,6lug"
,,,,,,,,,,"oe-16","lt265/75-16",
"CHEVROLET","K-2500 PICKUP ","BASE",1988,2000,"8x165.1",116.7,"LOW","14X1.5","NUT","oe-16","lt245/75-16","4wd,heavy duty,8lug"
"CHEVROLET","K-3500 PICKUP","BASE",1988,2000,"8x165.1",116.7,"LOW","14X1.5","NUT","oe-16","lt245/75-16","4wd"
,,,,,,,,,,"oe-16","lt265/75-16",
"CHEVROLET","COLORADO","Z85 BASE",2004,2008,"6x139.7",100.5,"HIGH","12X1.5","NUT","oe-15","205/75-15","2wd"
,,,,,,,,,,"oe-15","225/75-15",
,,,,,,,,,,"plus-16","235/65-16",
,,,,,,,,,,"plus-17","235/60-17",
,,,,,,,,,,"plus-18","255/50-18",
"CHEVROLET","COLORADO","Z85 LS",2004,2008,"6x139.7",100.5,"HIGH","12X1.5","NUT","oe-15","205/75-15","2wd"
,,,,,,,,,,"oe-15","225/75-15",
,,,,,,,,,,"plus-16","235/65-16",
,,,,,,,,,,"plus-17","235/60-17",
,,,,,,,,,,"plus-18","255/50-18",
,"COLORADO","Z85 BASE",2004,2008,"6x139.7",100.5,"HIGH","12X1.5","NUT","oe-15","235/75-15","4wd"
,,,,,,,,,,"plus-16","245/70-16",
,,,,,,,,,,"plus-17","255/60-17",
,,,,,,,,,,"plus-18","255/55-18",
,"COLORADO","Z85 LS",2004,2008,"6x139.7",100.5,"HIGH","12X1.5","NUT","oe-15","235/75-15","4wd"
,,,,,,,,,,"plus-16","245/70-16",
,,,,,,,,,,"plus-17","255/60-17",
,,,,,,,,,,"plus-18","255/55-18",
"CHEVROLET","COLORADO","SPORT-BASE",2004,2008,"6x139.7",100.5,"HIGH","12X1.5","NUT","oe-17","235/50-17",
,,,,,,,,,,"plus-18","235/45-18",
,,,,,,,,,,"plus-19","255/35-19",
,,,,,,,,,,"plus-20","245/35-20",
,"COLORADO","SPORT-LS",2004,2008,"6x139.7",100.5,"HIGH","12X1.5","NUT","oe-17","235/50-17",
,,,,,,,,,,"plus-18","235/45-18",
,,,,,,,,,,"plus-19","255/35-19",
,,,,,,,,,,"plus-20","245/35-20",
"CHEVROLET","COLORADO","SPORT-EXTREME",2004,2006,"6x139.7",100.5,"HIGH","12X1.5","NUT","oe-18","235/50-18",
,,,,,,,,,,"plus-19","255/40-19",
,,,,,,,,,,"plus-20","255/35-20",
"CHEVROLET","COLORADO","Z71-BASE-LS",2004,2008,"6x139.7",100.5,"HIGH","12X1.5","NUT","oe-15","265/75-15","2wd"
,,,,,,,,,,"plus-16","265/70-16",
,,,,,,,,,,"plus-17","265/65-17",
,,,,,,,,,,"plus-18","265/60-18",
,,,,,,,,,,"plus-20","265/50-20",
"CHEVROLET","COLORADO","Z71-BASE-LS",2004,2008,"6x139.7",100.5,"HIGH","12X1.5","NUT","oe-15","265/75-15","4wd"
,,,,,,,,,,"plus-16","265/70-16",
,,,,,,,,,,"plus-17","265/65-17",
,,,,,,,,,,"plus-18","265/60-18",
,,,,,,,,,,"plus-20","265/50-20",
"CHEVROLET","COLORADO","Z71-LS",2004,2008,"6x139.7",100.5,"HIGH","12X1.5","NUT","oe-15","265/75-15","2wd"
,,,,,,,,,,"plus-16","265/70-16",
,,,,,,,,,,"plus-17","265/65-17",
,,,,,,,,,,"plus-18","265/60-18",
,,,,,,,,,,"plus-20","265/50-20",
"CHEVROLET","COLORADO","Z71-LS",2004,2008,"6x139.7",100.5,"HIGH","12X1.5","NUT","oe-15","265/75-15","4wd"
,,,,,,,,,,"plus-16","265/70-16",
,,,,,,,,,,"plus-17","265/65-17",
,,,,,,,,,,"plus-18","265/60-18",
,,,,,,,,,,"plus-20","265/50-20",
"CHEVROLET","COLORADO","SPORT",2009,2009,"6x139.7",100.5,"HIGH","12X1.5","NUT","oe-18","235/50-18",
,,,,,,,,,,"plus-18","245/50-18",
,,,,,,,,,,"plus-19","235/45-19",
,,,,,,,,,,"plus-20","245/40-20",
,,,,,,,,,,"plus-22","235/30-22",
"CHEVROLET","COLORADO","VALUE MODEL",2009,2009,"6x139.7",100.5,"HIGH","12X1.5","NUT","oe-16","215/70-16",
,,,,,,,,,,"plus-16","235/65-16",
,,,,,,,,,,"plus-17","235/60-17",
,,,,,,,,,,"plus-18","235/55-18",
,,,,,,,,,,"plus-20","245/40-20",
,,,,,,,,,,"plus-22","235/30-22",
"CHEVROLET","COLORADO","Z71",2009,2009,"6x139.7",100.5,"HIGH","12X1.5","NUT","oe-17","265/70-17","2wd,4wd"
,,,,,,,,,,"plus-17","275/70-17",
,,,,,,,,,,"plus-18","275/65-18",
,,,,,,,,,,"plus-20","275/55-20",
,,,,,,,,,,"plus-22","275/45-22",
"CHEVROLET","COLORADO","Z85",2009,2009,"6x139.7",100.5,"HIGH","12X1.5","NUT","oe-16","235/75-16","2wd,4wd"
,,,,,,,,,,"plus-16","245/70-16",
,,,,,,,,,,"plus-17","255/65-17",
,,,,,,,,,,"plus-18","255/60-18",
,,,,,,,,,,"plus-20","255/55-20",
"CHEVROLET","EQUINOX","LS",2005,2009,"5x115",70.3,"HIGH","12X1.5","NUT","oe-16","235/65-16","2wd,4wd"
,,,,,,,,,,"oe-17","235/60-17",
,,,,,,,,,,"plus-18","235/55-18",
,,,,,,,,,,"plus-20","245/40-20",
"CHEVROLET","EQUINOX","LT",2005,2009,"5x115",70.3,"HIGH","12X1.5","NUT","oe-16","235/65-16",
,,,,,,,,,,"oe-17","235/60-17",
,,,,,,,,,,"plus-18","235/55-18",
,,,,,,,,,,"plus-20","245/40-20",
"CHEVROLET","EQUINOX","LTZ",2005,2009,"5x115",70.3,"HIGH","12X1.5","NUT","oe-16","235/65-16",
,,,,,,,,,,"oe-17","235/60-17",
,,,,,,,,,,"plus-18","235/55-18",
,,,,,,,,,,"plus-20","245/40-20",
"CHEVROLET","EQUINOX","SPORT",2008,2009,"5x115",70.3,"HIGH","12X1.5","NUT","oe-18","235/50-18",
,,,,,,,,,,"plus-20","245/40-20",
"CHEVROLET","EXPRESS VAN",1500,1997,2002,"5x127",78.3,"LOW","14X1.5","NUT","oe-15","215/75-15",
,,,,,,,,,,"plus-16","215/70-16",
,,,,,,,,,,"plus-17","235/60-17",
,,,,,,,,,,"oe-15","235/75-15",
,,,,,,,,,,"plus-16","235/70-16",
,,,,,,,,,,"plus-17","235/65-17",
,,,,,,,,,,"plus-18","235/60-18",
"CHEVROLET","EXPRESS VAN",1500,2003,2009,"6x139.7",78.3,"MID","14X1.5","NUT","oe-16","235/75-16",
,,,,,,,,,,"oe-16","245/75-16",
,,,,,,,,,,"oe-17","245/70-18",
,,,,,,,,,,"plus-18","265/60-18",
"CHEVROLET","EXPRESS VAN",2500,1997,2009,"8x165.1",117,"LOW","14X1.5","NUT","oe-16","lt225/75-16",
,,,,,,,,,,"oe-16","lt245/75-16",
"CHEVROLET","EXPRESS VAN",3500,1997,2009,"8x165.1",117,"LOW","14X1.5","NUT","oe-16","lt225/75-16",
,,,,,,,,,,"oe-16","lt245/75-16",
"CHEVROLET","S-10 PICKUP","BASE",1982,2004,"5x120.7",70.3,"LOW","12X1.5","NUT","oe-15","205/75-15","2wd"
,,,,,,,,,,"plus-16","255/55-16",
,,,,,,,,,,"plus-17","255/50-17",
,,,,,,,,,,"plus-18","255/45-18",
,,,,,,,,,,"plus-20","255/35-20",
"CHEVROLET","S-10 PICKUP","BASE",1982,2004,"5x120.7",70.3,"HIGH","12X1.5","NUT","oe-15","235/75-15","4wd"
,,,,,,,,,,"plus-16","245/70-16",
,,,,,,,,,,"plus-17","255/60-17",
,,,,,,,,,,"plus-18","255/55-18",
,,,,,,,,,,"plus-20","255/45-20",
"CHEVROLET","S-10 PICKUP","BASE",1982,2004,"5x120.7",70.3,"HIGH","12X1.5","NUT","oe-15","31-10.50-15","4wd with oe 31-10.50-15"
,,,,,,,,,,"plus-15","265/75-15",
,,,,,,,,,,"plus-16","265/70-16",
,,,,,,,,,,"plus-17","265/65-17",
,,,,,,,,,,"plus-18","265/60-18",
"CHEVROLET","SILVERADO",1500,1999,2006,"6x139.7",78.3,"MID","14X1.5","NUT","oe-16","235/75-16","2wd"
,,,,,,,,,,"oe-16","255/70-16",
,,,,,,,,,,"oe-17","245/70-17",
,,,,,,,,,,"plus-18","265/60-18",
,,,,,,,,,,"plus-20","265/50-20",
,,,,,,,,,,"plus-22","285/40-22",
,,,,,,,,,,"oe-20","275/55-20",
,,,,,,,,,,"plus-18","285/60-18",
,,,,,,,,,,"plus-20","285/50-20",
,,,,,,,,,,"plus-22","305/40-22",
,,,,,,,,,,"plus-23","305/35-23",
,,,,,,,,,,"plus-24","305/35-24",
"CHEVROLET","SILVERADO",1500,1999,2006,"6x139.7",78.3,"MID","14X1.5","NUT","oe-16","245/75-16","4wd"
,,,,,,,,,,"plus-18","265/60-18",
,,,,,,,,,,"plus-20","265/50-20",
,,,,,,,,,,"plus-22","285/40-22",
,,,,,,,,,,"oe-16","265/75-16",
,,,,,,,,,,"oe-17","265/70-17",
,,,,,,,,,,"plus-18","285/60-18",
,,,,,,,,,,"plus-20","285/50-20",
,,,,,,,,,,"plus-22","305/40-22",
,,,,,,,,,,"plus-23","305/35-23",
,,,,,,,,,,"plus-24","305/35-24",
"CHEVROLET","SILVERADO",1500,2007,2009,"6x139.7",78.3,"MID+","14X1.5","NUT","oe-17","245/70-17","2wd,4wd"
,,,,,,,,,,"plus-18","265/60-18",
,,,,,,,,,,"plus-20","265/50-20",
,,,,,,,,,,"plus-22","285/40-22",
,,,,,,,,,,"oe-17","265/70-17",
,,,,,,,,,,"oe-18","265/65-18",
,,,,,,,,,,"oe-20","275/55-20",
,,,,,,,,,,"plus-18","285/60-18",
,,,,,,,,,,"plus-20","285/55-20",
,,,,,,,,,,"plus-22","285/45-22",
,,,,,,,,,,"plus-24","295/35-24",
"CHEVROLET","SILVERADO HD","1500 HD",1999,2006,"6x139.7",78.3,"MID","14X1.5","NUT","oe-16","lt245/75-16","2wd,4wd"
"CHEVROLET","SILVERADO",2500,1999,2009,"8x165.1",116.7,"LOW","14X1.5","NUT","oe-16","lt245/75-16","2wd,4wd"
"CHEVROLET","SILVERADO HD","2500 HD ",1999,2009,"8x165.1",116.7,"LOW","14X1.5","NUT","oe-16","lt245/75-16","2wd,4wd"
"CHEVROLET","SILVERADO",3500,1999,2009,"8x165.1",116.7,"LOW","14X1.5","NUT","oe-16","lt215/85-16","2wd,4wd"
,,,,,,,,,,"oe-16","lt245/75-16",
"CHEVROLET","SILVERADO","DUALLY-2500",1999,2009,"8x165.1",116.7,"DUALLY","14X1.5","NUT","oe-16","lt215/85-16","2wd,4wd dual rear wheel application"
"CHEVROLET","SILVERADO","DUALLY-3500",1999,2009,"8x165.1",116.7,"DUALLY","14X1.5","NUT","oe-16","lt215/85-16","2wd,4wd dual rear wheel application"
"CHEVROLET","SSR","BASE",2004,2006,"6x127",78.3,"HIGH","12X1.5","NUT","f-oe-19","255/45-19",
,,,,,,,,,,"r-oe-20","295/40-20",
"CHEVROLET","SUBURBAN","C1500",1988,1999,"5x127",78.3,"LOW","1/214X1.5","OR  NUT","oe-15","235/75-15","2wd"
,,,,,,,,,,"plus-16","235/70-16",
,,,,,,,,,,"plus-17","255/60-17",
,,,,,,,,,,"plus-18","255/55-18",
,,,,,,,,,,"plus-20","265/55-20",
"CHEVROLET","SUBURBAN","C2500",1988,1999,"6x139.7",78.3,"MID","14X1.5","NUT","oe-16","lt245/75-16","2wd"
"CHEVROLET","SUBURBAN","K1500",1988,1999,"6x139.7",78.3,"MID","14X1.5","NUT","oe-16","lt225/75-16",
,,,,,,,,,,"oe-16","lt245/75-16",
"CHEVROLET","SUBURBAN","K2500",1988,1999,"8x165.1",117,"MID","14X1.5","NUT","oe-16","lt245/75-16","4wd"
"CHEVROLET","SUBURBAN",1500,2000,2006,"6x139.7",78.3,"MID","14X1.5","NUT","oe-16","245/75-16","4wd"
,,,,,,,,,,"oe-16","265/70-16",
,,,,,,,,,,"plus-18","265/60-18",
,,,,,,,,,,"plus-20","265/50-20",
,,,,,,,,,,"plus-22","285/40-22",
,,,,,,,,,,"oe-17","265/70-17",
,,,,,,,,,,"plus-18","285/60-18",
,,,,,,,,,,"plus-20","285/50-20",
,,,,,,,,,,"plus-22","305/40-22",
,,,,,,,,,,"plus-23","305/35-23",
,,,,,,,,,,"plus-24","305/35-24",
"CHEVROLET","SUBURBAN","BASE",2007,2009,"6x139.7",78.3,"MID+","14X1.5","NUT","oe-17","265/70-17","2wd,4wd"
,,,,,,,,,,"oe-18","265/65-18",
,,,,,,,,,,"oe-20","275/55-20",
,,,,,,,,,,"plus-18","285/60-18",
,,,,,,,,,,"plus-20","285/55-20",
,,,,,,,,,,"plus-22","285/45-22",
,,,,,,,,,,"plus-24","295/35-24",
"CHEVROLET","SUBURBAN","1500 HD",2000,2009,"6x139.7",78.3,"MID","14X1.5","NUT","oe-16","lt265/70-16","2wd,4wd"
"CHEVROLET","SUBURBAN",2500,2000,2009,"8x165.1",117,"MID","14X1.5","NUT","oe-16","lt245/75-16","2wd,4wd"
"CHEVROLET","TAHOE","BASE",1995,1999,"5x127",78.3,"LOW","14X1.5","NUT","oe-15","235/75-15","2wd"
,,,,,,,,,,"plus-16","235/70-16",
,,,,,,,,,,"plus-17","265/60-17",
,,,,,,,,,,"plus-18","255/55-18",
,,,,,,,,,,"plus-20","265/45-20",
"CHEVROLET","TAHOE","BASE",1995,1999,"6x139.7",78.3,"MID","14X1.5","NUT","oe-16","lt265/70-16","4wd"
,,,,,,,,,,"oe-16","lt245/75-16",
"CHEVROLET","TAHOE","BASE",2000,2006,"6x139.7",78.3,"MID","14X1.5","NUT","oe-16","245/75-16","2wd"
,,,,,,,,,,"oe-16","265/70-16",
,,,,,,,,,,"plus-17","285/60-17",
,,,,,,,,,,"plus-18","285/60-18",
,,,,,,,,,,"plus-20","285/50-20",
,,,,,,,,,,"plus-22","285/40-22",
,,,,,,,,,,"plus-23","285/35-23",
,,,,,,,,,,"plus-24","285/30-24",
"CHEVROLET","TAHOE","BASE",2000,2006,"6x139.7",78.3,"MID+","14X1.5","NUT","oe-17","265/70-17","4wd"
,,,,,,,,,,"oe-18","265/65-18",
,,,,,,,,,,"oe-20","275/55-20",
,,,,,,,,,,"plus-18","285/60-18",
,,,,,,,,,,"plus-20","285/55-20",
,,,,,,,,,,"plus-22","285/45-22",
,,,,,,,,,,"plus-24","295/35-24",
"CHEVROLET","TAHOE","HYBRID",2008,2009,"6x139.7",78.3,"MID+","14X1.5","NUT","oe-18","265/65-18","2wd.4wd"
,,,,,,,,,,"plus-20","275/55-20",
,,,,,,,,,,"plus-22","285/45-22",
,,,,,,,,,,"plus-24","295/35-24",
"CHEVROLET","TRACKER","BASE",1992,2004,"5x139.7",108,"LOW","12X1.5","NUT","oe-15","195/75-15",
,,,,,,,,,,"oe-15","205/75-15",
,,,,,,,,,,"oe-15","215/70-15",
,,,,,,,,,,"oe-15","215/75-15",
,,,,,,,,,,"plus-17","215/65-16",
,,,,,,,,,,"plus-18","225/55-17",
"CHEVROLET","TRAILBLAZER","BASE",2002,2009,"6x127",78.3,"HIGH","12X1.5","NUT","oe-16","245/70-16","2wd,awd"
,,,,,,,,,,"oe-17","245/65-17",
,,,,,,,,,,"oe-18","245/60-18",
,,,,,,,,,,"plus-18","265/60-18",
,,,,,,,,,,"plus-20","265/50-20",
,,,,,,,,,,"plus-22","265/40-22",
"CHEVROLET","TRAILBLAZER","SS",2000,2009,"6x115",78.3,"HIGH","12X1.5","NUT","oe-20","255/50-20","2wd,awd"
,,,,,,,,,,"plus-20","265/50-20",
,,,,,,,,,,"plus-22","265/40-22",
"CHEVROLET","TRAVERSE","LS",2009,2009,"6x132",74.5,"HIGH+","14X1.5","NUT","oe-17","245/70-17",
,,,,,,,,,,"oe-18","255/65-18",
,,,,,,,,,,"oe-20","255/55-20",
,,,,,,,,,,"plus-19","255/60-19",
,,,,,,,,,,"plus-20","265/50-20",
,,,,,,,,,,"plus-22","265/45-22",
"CHEVROLET","TRAVERSE","LT",2009,2009,"6x132",74.5,"HIGH+","14X1.5","NUT","oe-17","245/70-17",
,,,,,,,,,,"oe-18","255/65-18",
,,,,,,,,,,"oe-20","255/55-20",
,,,,,,,,,,"plus-19","255/60-19",
,,,,,,,,,,"plus-20","265/50-20",
,,,,,,,,,,"plus-22","265/45-22",
"CHEVROLET","TRAVERSE","LTZ ",2009,2009,"6x132",74.5,"HIGH+","14X1.5","NUT","oe-17","245/70-17",
,,,,,,,,,,"oe-18","255/65-18",
,,,,,,,,,,"oe-20","255/55-20",
,,,,,,,,,,"plus-19","255/60-19",
,,,,,,,,,,"plus-20","265/50-20",
,,,,,,,,,,"plus-22","265/45-22",
"CHEVROLET","UPLANDER","LS",2005,2005,"5x115",70.3,"HIGH","12X1.5","NUT","oe-17","225/60-17","2wd,awd"
,,,,,,,,,,"plus-18","225/55-18",
"CHEVROLET","UPLANDER","LT",2005,2005,"5x115",70.3,"HIGH","12X1.5","NUT","oe-17","225/60-17","2wd,awd"
,,,,,,,,,,"plus-18","225/55-18",
"CHEVROLET","UPLANDER","LS",2006,2008,"6x115",70.3,"HIGH","12X1.5","NUT","oe-17","225/60-17","2wd,awd"
,,,,,,,,,,"plus-18","225/55-18",
"CHEVROLET","UPLANDER","LT",2006,2008,"6x115",70.3,"HIGH","12X1.5","NUT","oe-17","225/60-17","2wd,awd"
,,,,,,,,,,"plus-18","225/55-18",
"CHEVROLET","VENTURA","BASE",1997,2005,"5x112",70.3,"HIGH","12X1.5","NUT","oe-15","215/70-15",
,,,,,,,,,,"oe-16","225/60-16",
,,,,,,,,,,"plus-17","225/55-17",
,,,,,,,,,,"plus-18","235/45-18",
"CHRYSLER","300M","BASE",1999,2004,"5x114.3",71.5,"HIGH","12X1.5","NUT","oe-16","225/60-16",
,,,,,,,,,,"oe-17","225/55-17",
,,,,,,,,,,"oe-18","245/45-18",
,,,,,,,,,,"plus-19","245/40-19",
,,,,,,,,,,"plus-20","245/35-20",
"CHRYSLER","300-300C","BASE",2005,2009,"5x115",71.5,"MID","14X1.5","NUT","oe-17","215/65-17","rwd  rwd mid offset"
,,,,,,,,,,"oe-18","225/60-18",
,,,,,,,,,,"plus-18","245/55-18",
,,,,,,,,,,"plus-19","255/45-19",
,,,,,,,,,,"plus-20","255/40-20",
,,,,,,,,,,"plus-22","265/30-22",
"CHRYSLER","300-300C","BASE",2005,2009,"5x115",71.5,"HIGH","14X1.5","NUT","oe-18","225/60-18","awd  awd high offset"
,,,,,,,,,,"plus-18","245/55-18",
,,,,,,,,,,"plus-19","255/45-19",
,,,,,,,,,,"plus-20","255/40-20",
,,,,,,,,,,"plus-22","265/30-22",
"CHRYSLER","300C","SRT8",2005,2009,"5x115",71.5,"MID","14X1.5","NUT","oe-20","245/45-20",
,,,,,,,,,,"f-oe-20","245/45-20",
,,,,,,,,,,"r-oe-20","255/45-20",
,,,,,,,,,,"plus-22","265/30-22",
"CHRYSLER","CIRRUS","BASE",1995,2000,"5x100",57.1,"HIGH","12X1.5","NUT","oe-15","195/65-15",
,,,,,,,,,,"plus-16","205/55-16",
,,,,,,,,,,"plus-17","215/45-17",
,,,,,,,,,,"plus-18","215/40-18",
"CHRYSLER","CONCORDE","BASE",1993,2004,"5x114.3",71.5,"HIGH","12X1.5","NUT","oe-16","225/60-16",
,,,,,,,,,,"oe-17","225/55-17",
,,,,,,,,,,"plus-17","245/50-17",
,,,,,,,,,,"plus-18","245/45-18",
,,,,,,,,,,"plus-19","245/40-19",
"CHRYSLER","CROSSFIRE","BASE",2004,2008,"5x112",66.56,"HIGH","12X1.5","B BOLT","f-oe-18","225/40-18",
,,,,,,,,,,"r-oe-19","255/35-19",
,,,,,,,,,,"f-plus-19","235/35-19",
,,,,,,,,,,"r-plus-20","255/30-20",
"CHRYSLER","LHS","BASE",1994,2001,"5x114.3",71.5,"HIGH","12X1.5","NUT","oe-16","225/60-16",
,,,,,,,,,,"oe-17","255/55-17",
,,,,,,,,,,"oe-17","245/50-17",
,,,,,,,,,,"plus-18","245/45-18",
"CHRYSLER","PT CRUSIER","SEDAN",2001,2009,"5x100",57.1,"HIGH","12X1.5","NUT","oe-15","195/65-15",
,,,,,,,,,,"oe-16","205/55-16",
,,,,,,,,,,"oe-17","205/50-17",
,,,,,,,,,,"plus-17","225/45-17",
,,,,,,,,,,"plus-18","225/40-18",
,,,,,,,,,,"plus-19","225/35-19",
"CHRYSLER","PT CRUSIER","CONVERTIBLE",2005,2008,"5x100",57.1,"HIGH","12X1.5","NUT","oe-16","205/55-16",
,,,,,,,,,,"oe-17","205/50-17",
,,,,,,,,,,"plus-17","225/45-17",
,,,,,,,,,,"plus-18","225/40-18",
,,,,,,,,,,"plus-19","225/35-19",
"CHRYSLER","SEBRING","CONVERTIBLE",1996,2006,"5x100",57.1,"HIGH","12X1.5","NUT","oe-15","205/65-15",
,,,,,,,,,,"oe-16","205/60-16",
,,,,,,,,,,"plus-17","225/45-17",
,,,,,,,,,,"plus-18","225/40-18",
"CHRYSLER","SEBRING","SEDAN",1996,2006,"5x100",57.1,"HIGH","12X1.5","NUT","oe-15","205/65-15",
,,,,,,,,,,"oe-16","205/60-16",
,,,,,,,,,,"plus-17","225/45-17",
,,,,,,,,,,"plus-18","225/40-18",
"CHRYSLER","SEBRING","TSI SEDAN",1996,2006,"5x100",57.1,"HIGH","12X1.5","NUT","oe-17","215/50-17",
,,,,,,,,,,"plus-18","225/40-18",
"CHRYSLER","SEBRING","COUPE",1996,2006,"5x114.3",67.1,"HIGH","12X1.5","NUT","oe-16","205/60-16",
,,,,,,,,,,"oe-17","215/50-17",
,,,,,,,,,,"plus-18","215/45-18",
"CHRYSLER","SEBRING","CONVERTIBLE",2007,2007,"5x100",57.1,"HIGH","12X1.5","NUT","oe-15","205/65-15",
,,,,,,,,,,"oe-16","205/60-16",
,,,,,,,,,,"plus-17","225/45-17",
,,,,,,,,,,"plus-18","225/40-18",
"CHRYSLER","SEBRING","SEDAN",2007,2009,"5x114.3",67.1,"HIGH","12X1.5","NUT","oe-16","215/65-16",
,,,,,,,,,,"oe-17","215/60-17",
,,,,,,,,,,"oe-18","215/55-18",
,,,,,,,,,,"plus-17","235/55-17",
,,,,,,,,,,"plus-18","235/50-18",
,,,,,,,,,,"plus-19","235/45-19",
"CHRYSLER","SEBRING","CONVERTIBLE",2008,2009,"5x114.3",67.1,"HIGH","12X1.5","NUT","oe-16","215/65-16",
,,,,,,,,,,"oe-17","215/60-17",
,,,,,,,,,,"oe-18","215/55-18",
,,,,,,,,,,"plus-17","235/55-17",
,,,,,,,,,,"plus-18","235/50-18",
,,,,,,,,,,"plus-19","235/45-19",
"CHRYSLER","ASPEN","LIMITED",2007,2009,"5x139.7",77.8,"MID","9/16""","NUT","oe-18","265/60-18","2wd,4wd"
,,,,,,,,,,"oe-20","265/50-20",
,,,,,,,,,,"plus-20","275/50-20",
,,,,,,,,,,"plus-22","265/40-22",
"CHRYSLER","ASPEN","HYBRID",2009,2009,"5x139.7",77.8,"MID","9/16""","NUT","oe-18","265/60-18",
,,,,,,,,,,"plus-20","265/50-20",
,,,,,,,,,,"plus-20","275/50-20",
,,,,,,,,,,"plus-22","265/40-22",
"CHRYSLER","PACIFICA","BASE",2004,2008,"5x120.7",71.5,"HIGH","12X1.5","NUT","oe-17","235/65-17",
,,,,,,,,,,"oe-19","235/55-19",
,,,,,,,,,,"plus-18","255/55-18",
,,,,,,,,,,"plus-20","265/45-20",
,,,,,,,,,,"plus-22","265/35-22",
"CHRYSLER","TOWN & COUNTRY","BASE",1996,2004,"5x114.3",71.5,"HIGH","12X1.5","NUT","oe-15","215/70-15",
,,,,,,,,,,"oe-16","215/65-16",
,,,,,,,,,,"plus-17","235/55-17",
,,,,,,,,,,"plus-18","235/50-18",
"CHRYSLER","TOWN & COUNTRY","BASE",2005,2007,"5x114.3",71.5,"HIGH","12X1.5","NUT","oe-15","215/70-15",
,,,,,,,,,,"oe-16","215/65-16",
,,,,,,,,,,"plus-17","235/55-17",
,,,,,,,,,,"plus-18","235/50-18",
"CHRYSLER","TOWN & COUNTRY","BASE",2008,2009,"5x127",71.5,"HIGH","12X1.5","NUT","oe-16","225/65-16","with oe16"""
,,,,,,,,,,"plus-17","225/60-17",
,,,,,,,,,,"plus-18","235/50-18",
,,,,,,,,,,"plus-19","235/45-19",
,,,,,,,,,,"plus-20","245/40-20",
"CHRYSLER","TOWN & COUNTRY","BASE",2008,2009,"5x127",71.5,"HIGH","12X1.5","NUT","oe-17","225/65-17","with oe17"""
,,,,,,,,,,"plus-18","245/55-18",
